Nro. Orden|Unidad Local|Nit|Raz¢n Social|Nombre Comercial|Sigla|Direccion|Telefono|Fax|Apartado Aereo|Email|Fecha Inicial|Fecha Final|Departamento|Municipio|Actividad CIIU|Sede|Subsede
23|1|255555555553|REGISTRO DE PRUEBA NRO. 023|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 023|REGPR23|Calle 1 Nro. 1 - 12|25555553|25555553|25553|regpruebas23@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
24|1|266666666664|REGISTRO DE PRUEBA NRO. 024|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 024|REGPR24|Calle 2 Nro. 2 - 13|26666664|26666664|26664|regpruebas24@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
25|1|277777777775|REGISTRO DE PRUEBA NRO. 025|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 025|REGPR25|Calle 1 Nro. 1 - 13|27777775|27777775|27775|regpruebas25@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
26|1|288888888886|REGISTRO DE PRUEBA NRO. 026|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 026|REGPR26|Calle 2 Nro. 2 - 14|28888886|28888886|28886|regpruebas26@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
27|1|299999999997|REGISTRO DE PRUEBA NRO. 027|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 027|REGPR27|Calle 1 Nro. 1 - 14|29999997|29999997|29997|regpruebas27@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
28|1|311111111108|REGISTRO DE PRUEBA NRO. 028|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 028|REGPR28|Calle 2 Nro. 2 - 15|31111108|31111108|31108|regpruebas28@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
29|1|322222222219|REGISTRO DE PRUEBA NRO. 029|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 029|REGPR29|Calle 1 Nro. 1 - 15|32222219|32222219|32219|regpruebas29@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
30|1|333333333330|REGISTRO DE PRUEBA NRO. 030|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 030|REGPR30|Calle 2 Nro. 2 - 16|33333330|33333330|33330|regpruebas30@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
31|1|344444444441|REGISTRO DE PRUEBA NRO. 031|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 031|REGPR31|Calle 1 Nro. 1 - 16|34444441|34444441|34441|regpruebas31@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
32|1|355555555552|REGISTRO DE PRUEBA NRO. 032|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 032|REGPR32|Calle 2 Nro. 2 - 17|35555552|35555552|35552|regpruebas32@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
33|1|366666666663|REGISTRO DE PRUEBA NRO. 033|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 033|REGPR33|Calle 1 Nro. 1 - 17|36666663|36666663|36663|regpruebas33@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
34|1|377777777774|REGISTRO DE PRUEBA NRO. 034|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 034|REGPR34|Calle 2 Nro. 2 - 18|37777774|37777774|37774|regpruebas34@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
35|1|388888888885|REGISTRO DE PRUEBA NRO. 035|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 035|REGPR35|Calle 1 Nro. 1 - 18|38888885|38888885|38885|regpruebas35@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
36|1|399999999996|REGISTRO DE PRUEBA NRO. 036|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 036|REGPR36|Calle 2 Nro. 2 - 19|39999996|39999996|39996|regpruebas36@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
37|1|411111111107|REGISTRO DE PRUEBA NRO. 037|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 037|REGPR37|Calle 1 Nro. 1 - 19|41111107|41111107|41107|regpruebas37@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
38|1|422222222218|REGISTRO DE PRUEBA NRO. 038|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 038|REGPR38|Calle 2 Nro. 2 - 20|42222218|42222218|42218|regpruebas38@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
39|1|433333333329|REGISTRO DE PRUEBA NRO. 039|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 039|REGPR39|Calle 1 Nro. 1 - 20|43333329|43333329|43329|regpruebas39@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
40|1|444444444440|REGISTRO DE PRUEBA NRO. 040|NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 040|REGPR40|Calle 2 Nro. 2 - 21|44444440|44444440|44440|regpruebas40@localhost.com|02/05/2012|30/05/2012|25|3|5511|11|25
