nro_orden;uni_local;nit;idproraz;idnomcom;idsigla;iddirecc;idtelno;idfaxno;idaano;idcorreo;finicial;ffinal;fk_depto;fk_mpio;fk_ciiu;fk_sede;fk_subsede
20;1;99000020;REGISTRO DE PRUEBA NRO. 020;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 020;REGPR20;Calle 20 Nro. 20 - 20;5550020;5550020;2020;regpruebas20@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
21;1;99000021;REGISTRO DE PRUEBA NRO. 021;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 021;REGPR21;Calle 21 Nro. 21 - 21;5550021;5550021;2121;regpruebas21@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
22;1;99000022;REGISTRO DE PRUEBA NRO. 022;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 022;REGPR22;Calle 22 Nro. 22 - 22;5550022;5550022;2222;regpruebas22@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
23;1;99000023;REGISTRO DE PRUEBA NRO. 023;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 023;REGPR23;Calle 23 Nro. 23 - 23;5550023;5550023;2323;regpruebas23@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
24;1;99000024;REGISTRO DE PRUEBA NRO. 024;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 024;REGPR24;Calle 24 Nro. 24 - 24;5550024;5550024;2424;regpruebas24@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
25;1;99000025;REGISTRO DE PRUEBA NRO. 025;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 025;REGPR25;Calle 25 Nro. 25 - 25;5550025;5550025;2525;regpruebas25@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
26;1;99000026;REGISTRO DE PRUEBA NRO. 026;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 026;REGPR26;Calle 26 Nro. 26 - 26;5550026;5550026;2626;regpruebas26@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
27;1;99000027;REGISTRO DE PRUEBA NRO. 027;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 027;REGPR27;Calle 27 Nro. 27 - 27;5550027;5550027;2727;regpruebas27@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
28;1;99000028;REGISTRO DE PRUEBA NRO. 028;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 028;REGPR28;Calle 28 Nro. 28 - 28;5550028;5550028;2828;regpruebas28@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
29;1;99000029;REGISTRO DE PRUEBA NRO. 029;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 029;REGPR29;Calle 29 Nro. 29 - 29;5550029;5550029;2929;regpruebas29@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
30;1;99000030;REGISTRO DE PRUEBA NRO. 030;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 030;REGPR30;Calle 30 Nro. 30 - 30;5550030;5550030;3030;regpruebas30@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
31;1;99000031;REGISTRO DE PRUEBA NRO. 031;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 031;REGPR31;Calle 31 Nro. 31 - 31;5550031;5550031;3131;regpruebas31@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;68
32;1;99000032;REGISTRO DE PRUEBA NRO. 032;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 032;REGPR32;Calle 32 Nro. 32 - 32;5550032;5550032;3232;regpruebas32@localhost.com;2012-01-01;2012-12-31;68;21;5511;68;54
33;1;99000033;REGISTRO DE PRUEBA NRO. 033;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 033;REGPR33;Calle 33 Nro. 33 - 33;5550033;5550033;3333;regpruebas33@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
34;1;99000034;REGISTRO DE PRUEBA NRO. 034;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 034;REGPR34;Calle 34 Nro. 34 - 34;5550034;5550034;3434;regpruebas34@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
35;1;99000035;REGISTRO DE PRUEBA NRO. 035;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 035;REGPR35;Calle 35 Nro. 35 - 35;5550035;5550035;3535;regpruebas35@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
36;1;99000036;REGISTRO DE PRUEBA NRO. 036;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 036;REGPR36;Calle 36 Nro. 36 - 36;5550036;5550036;3636;regpruebas36@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
37;1;99000037;REGISTRO DE PRUEBA NRO. 037;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 037;REGPR37;Calle 37 Nro. 37 - 37;5550037;5550037;3737;regpruebas37@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
38;1;99000038;REGISTRO DE PRUEBA NRO. 038;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 038;REGPR38;Calle 38 Nro. 38 - 38;5550038;5550038;3838;regpruebas38@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
39;1;99000039;REGISTRO DE PRUEBA NRO. 039;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 039;REGPR39;Calle 39 Nro. 39 - 39;5550039;5550039;3939;regpruebas39@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
40;1;99000040;REGISTRO DE PRUEBA NRO. 040;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 040;REGPR40;Calle 40 Nro. 40 - 40;5550040;5550040;4040;regpruebas40@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
41;1;99000041;REGISTRO DE PRUEBA NRO. 041;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 041;REGPR40;Calle 41 Nro. 41 - 41;5550041;5550041;4141;regpruebas41@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
42;1;99000042;REGISTRO DE PRUEBA NRO. 042;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 042;REGPR41;Calle 42 Nro. 42 - 42;5550042;5550042;4242;regpruebas42@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
43;1;99000043;REGISTRO DE PRUEBA NRO. 043;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 043;REGPR42;Calle 43 Nro. 43 - 43;5550043;5550043;4343;regpruebas43@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
44;1;99000044;REGISTRO DE PRUEBA NRO. 044;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 044;REGPR43;Calle 44 Nro. 44 - 44;5550044;5550044;4444;regpruebas44@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
45;1;99000045;REGISTRO DE PRUEBA NRO. 045;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 045;REGPR44;Calle 45 Nro. 45 - 45;5550045;5550045;4545;regpruebas45@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
46;1;99000046;REGISTRO DE PRUEBA NRO. 046;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 046;REGPR45;Calle 46 Nro. 46 - 46;5550046;5550046;4646;regpruebas46@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
47;1;99000047;REGISTRO DE PRUEBA NRO. 047;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 047;REGPR46;Calle 47 Nro. 47 - 47;5550047;5550047;4747;regpruebas47@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
48;1;99000048;REGISTRO DE PRUEBA NRO. 048;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 048;REGPR47;Calle 48 Nro. 48 - 48;5550048;5550048;4848;regpruebas48@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
49;1;99000049;REGISTRO DE PRUEBA NRO. 049;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 049;REGPR48;Calle 49 Nro. 49 - 49;5550049;5550049;4949;regpruebas49@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;8
50;1;99000050;REGISTRO DE PRUEBA NRO. 050;NOMBRE COMERCIAL REGISTRO DE PRUEBA NRO. 050;REGPR49;Calle 50 Nro. 50 - 50;5550050;5550050;5050;regpruebas50@localhost.com;2012-01-01;2012-12-31;8;2;5511;8;13
